Year,"Effective TEP, net",
1948,45.98,
1949,46.94,
1950,50.51,
1951,51.49,
1952,52.65,
1953,54.61,
1954,55.83,
1955,59.33,
1956,60.32,
1957,61.78,
1958,62.99,
1959,65.53,
1960,66.57,
1961,68.76,
1962,71.43,
1963,73.95,
1964,76.38,
1965,79.04,
1966,81.35,
1967,82.48,
1968,85.43,
1969,86.15,
1970,87.78,
1971,91.63,
1972,95.34,
1973,96.94,
1974,94.13,
1975,96.77,
1976,99.15,
1977,100.1,
1978,101.28,
1979,100,
1980,97.29,
1981,99.02,
1982,98.13,
1983,101.14,
1984,103.55,
1985,105.24,
1986,107.76,
1987,107.18,
1988,108.62,
1989,109.4,
1990,109.75,
1991,110.46,
1992,114.76,
1993,115.23,
1994,116.26,
1995,116.33,
1996,117.78,
1997,119.57,
1998,122.04,
1999,124.75,
2000,126.18,
2001,127.57,
2002,131.34,
2003,135.56,
2004,139.4,
2005,141.46,
2006,142.03,
2007,143.21,
2008,142.09,
2009,147.56,
2010,151.86,
2011,150.11,
2012,150.19,
2013,151.76,
2014,152.36,
2015,154.9,
2016,155.47,
2017,156.59,
2018,157.95,
2019,159.95,
2020,165.91,
2021,168.77,
2022,164.66,
